"Data","Segmento","Empresa","GrupoProblema","Ocorrencias"
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Fixo","Contrato / Oferta",7535
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Fixo","Entrega do Produto",127
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Fixo","Informação",302
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Fixo","Saúde e Segurança",21
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Fixo","Vício de Qualidade",4665
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","SKY","Atendimento / SAC",2121
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","SKY","Cobrança / Contestação",6040
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","SKY","Contrato / Oferta",2764
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","SKY","Informação",175
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","SKY","Vício de Qualidade",1940
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Tim","Atendimento / SAC",5155
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Tim","Cobrança / Contestação",14509
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Tim","Contrato / Oferta",8879
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Tim","Entrega do Produto",140
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Tim","Informação",911
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Tim","Saúde e Segurança",31
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Tim","Vício de Qualidade",5421
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica (GVT)","Atendimento / SAC",6728
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica (GVT)","Cobrança / Contestação",23054
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica (GVT)","Contrato / Oferta",10837
